200,325,3.2,44.6,0.7,137
200,325,3.2,45,0.7,137
200,325,3.2,46.9,0.9,58
250,265,3.1,34.1,1.9,56
250,265,3.1,22.9,1.9,56
300,150,4,22.7,1.3,29
300,150,4,27.8,1.8,29
150,250,3,34.3,1.51,105
150,250,3,34.3,3.02,105
150,250,3,34.3,2.27,105
200,260,2.7,34.7,1.3,130
150,210,3.65,27.965,1.31,45
150,210,3.65,32.385,1.31,45
254,222,3.2,39,1.55,34
305,192,4.1,38,0.36,41.4
305,157.5,4.5,28.6,0.73,40
229,225,4.06,36.3,1.11,40.3
229,225,4.06,36.3,1.11,40.3
229,225,4.06,36.3,1.11,40.3
178,225,4.06,36.3,1.42,40.3
178,225,4.06,36.3,1.42,40.3
178,225,4.06,36.3,1.42,40.3
229,225,4.06,36.3,1.66,40.3
229,225,4.06,36.3,1.66,40.3
229,225,4.06,36.3,1.66,40.3
279,225,4.06,36.3,1.81,40.3
279,225,4.06,36.3,1.81,40.3
279,225,4.06,36.3,1.81,40.3
254,224,4.08,36.3,2.05,40.3
254,224,4.08,36.3,2.05,40.3
254,224,4.08,36.3,2.05,40.3
229,224,4.08,36.3,2.27,40.3
229,224,4.08,36.3,2.27,40.3
229,224,4.08,36.3,2.27,40.3
178,279,2.7,24.1,2.3,40
178,287,2.6,24.1,0.77,40
178,287,2.6,24.1,1.34,40
457,360,3.4,39.7,0.96,40.5
457,360,3.4,39.9,0.96,37.6
457,360,3.4,40.3,0.96,47.1
457,360,3.4,42.3,1.92,40.5
457,360,3.4,42.5,1.92,37.6
160,346,2.8,37.3,0.72,42
160,346,2.8,37.3,0.72,42
160,346,3.3,43.2,1.1,42
160,346,3.3,43.2,1.1,42
160,325,3.5,34.1,1.54,42
160,325,3.5,34.1,1.54,42
130,310,3.1,37.3,0.72,120
130,310,3.1,37.3,0.72,120
130,310,3.7,43.2,1.1,120
130,310,3.7,43.2,1.1,120
130,310,3.7,34.1,1.54,120
130,310,3.7,34.1,1.54,120
203,225,4.06,79.6,1.25,40.3
203,225,4.06,79.6,1.25,40.3
203,225,4.06,79.6,1.25,40.3
152,225,4.06,79.6,1.66,40.3
152,225,4.06,79.6,1.66,40.3
152,225,4.06,79.6,1.66,40.3
165,224,4.06,79.6,2.1,40.3
165,224,4.08,79.6,2.1,40.3
165,224,4.08,79.6,2.1,40.3
203,224,4.08,79.6,2.56,40.3
203,224,4.08,79.6,2.56,40.3
203,224,4.08,79.6,2.56,40.3
200,225,2.67,40.5,0.25,145
200,225,2.67,49,0.5,145
200,225,2.67,40.5,0.63,145
200,225,2.67,40.5,0.88,145
200,225,3.56,40.5,0.5,145
200,225,4.2,40.5,0.5,145
150,171,3.9,28.9,0.45,38
150,218,3.1,28.9,0.71,32
150,268,2.5,28.9,0.86,32
150,168,4,50.15,1.39,32
150,218,3.1,50.15,1.06,32
150,268,2.5,50.15,1.15,32
150,223,3.3,50.4,1.28,45
114,294,3.11,59.7,0.59,40.8
114,294,3.11,32.1,0.59,40.8
114,294,3.11,32.1,0.59,40.8
229,147,3.11,59.7,0.59,40.8
229,147,3.11,32.1,0.59,40.8
229,147,3.11,32.1,0.59,40.8
250,305,2.5,39.8,0.86,46.5
250,305,3.5,39.8,0.86,46.5
250,310,2.5,34.5,0.42,145.2
250,310,3.5,34.5,0.42,145.2
250,440,2.5,44.7,0.9,46.7
300,584,2.5,37.1,0.91,46.2
250,442,2.5,74.2,1.25,48.2
300,578,2.5,74.2,1.37,48.2
250,460,2.5,42.4,0.45,144.4
300,594,2.5,37,0.43,146.5
250,296,2.5,39.8,1.43,46.3
250,296,2.5,42.4,1.43,46.3
250,455,2.5,37.1,0.35,46.5
250,434,2.5,37.1,1.47,46.3
250,310,2.5,42.4,0.18,144.4
250,310,2.5,34.5,0.67,143.3
250,460,2.5,42.4,0.22,145.5
250,439,2.5,42.4,0.65,144.6
250,291,2.5,65.3,0.89,46.2
250,291,2.5,88.3,0.89,46.2
250,310,2.5,65.3,0.42,145.6
250,310,2.5,88.3,0.42,145.6
450,438,3.48,35,0.55,37
450,194,3.93,35,0.66,37
450,405,3.77,35,2.36,37
450,188,4.05,35,2.54,37
250,291,2.5,65.3,0.87,46.3
250,442,2.5,74.2,1.25,48.2
300,578,2.5,74.2,1.37,48.2
250,310,2.5,65.3,0.42,136
250,449,2.5,74.2,0.69,144
300,594,2.5,74.2,0.65,144
200,215.5,2,30,0.33,146.2
150,215.5,2,30,0.44,146.2
150,215.5,2,30,0.44,146.2
